,Month,Company/Brand,Founded,Headquarters,Sector,What it does,Founder/s,Investor/s,Amount,Stage
0,December,CollegeDekho,2015,Gurgaon,E-learning,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",Ruchir Arora,"Disrupt ADQ, QIC",35000000,Series B
1,December,BOX8,2012,Mumbai,Food & Beverages,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",Tiger Global,40000000,
2,December,Simpl,2015,Bangalore,Consumer Services,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000,Series B
3,December,8i Ventures,2018,Mumbai,Venture Capital & Private Equity,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,,50000000,
4,December,PayGlocal,2021,Bangalore,Financial Services,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000,Series A
5,December,Curefit,2016,Bangalore,"Health, Wellness & Fitness",Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000,
6,December,Pocket FM,2018,Bangalore,OTT,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",22000000,Series B
7,December,CHARGE+ZONE,2018,Vadodara,Automotive,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,10000000,
8,December,PlanetSpark,2017,Gurugram,Education Management,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000,Series B
9,December,LenDenClub,2015,Mumbai,Financial Services,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000,Series A
10,December,CometChat,2009,Mumbai,Computer Software,"Voice, video & text chat SDKs, APIs & Plugins for Developers.","Anuj, Anant Garg",Signal Peak Ventures,10000000,Series A
11,December,AgroStar,2013,Pune,AgriTech,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",70000000,Series D
12,December,Bizongo,2015,Mumbai,Information Technology & Services,Bizongo is India’s largest B2B platform for made-to-order products.,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000,Series D
13,December,Probus Insurance,2002,Mumbai,Insurance,Probus Insurance is a leading InsurTech platform in India.,Rakesh goyal,BlueOrchard Impact Investment Managers,6700000,
14,December,MoEngage,2014,Bangalore,Software Startup,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,30000000,Series D
15,December,CloudSEK,2015,Bangalore,Computer & Network Security,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,Rahul Sasi,MassMutual Ventures,7000000,Series A
16,December,Exponent Energy,2020,Bangalore,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,"Arun Vinayak, Sanjay Byalal",YourNest VC,5000000,Pre-series A
17,December,Trinkerr,2021,Bangalore,Capital Markets,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000,Series A
18,December,Zorro,2021,Gurugram,Social network,Pseudonymous social network platform,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",32000000,Seed
19,December,Ultraviolette,2021,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",150000000,Series C
